instrument_name,type,start_date,jurisdiction,region,economy_income_group,main_price_rate_usd,share_ghg_covered_pct,govt_revenue_2024
Switzerland carbon tax,Carbon tax,2008,Switzerland,Europe & Central Asia,High income,133.5,33,1098 million
Switzerland ETS,ETS,2008,Switzerland,Europe & Central Asia,High income,44.7,13,50 million
Tamaulipas carbon tax,Carbon tax,2022,Mexico,Latin America & Caribbean,Upper middle income,,48,82 million
Tianjin pilot ETS,ETS,2013,China,East Asia & Pacific,Upper middle income,5.4,36,
Tokyo cap and trade,ETS,2010,Japan,East Asia & Pacific,High income,,19,
UK Carbon Price Support,Carbon tax,2013,United Kingdom,Europe & Central Asia,High income,23.2,,872 million
UK ETS,ETS,2021,United Kingdom,Europe & Central Asia,High income,57.2,27,3250 million
Ukraine carbon tax,Carbon tax,2011,Ukraine,Europe & Central Asia,Upper middle income,0.7,32,30 million
Uruguay CO2 tax,Carbon tax,2022,Uruguay,Latin America & Caribbean,High income,158.8,5,302 million
Washington CCA,ETS,2023,United States,North America,High income,50.0,71,811 million
Yucatan carbon tax,Carbon tax,2022,Mexico,Latin America & Caribbean,Upper middle income,15.0,32,6 million
Zacatecas carbon tax,Carbon tax,2017,Mexico,Latin America & Caribbean,Upper middle income,12.3,50,16 million
